"File","Lines"
"crm\index.html","13"
"crm\src\main.tsx","10"
"plugin\src\actionExecutor\handoffActions.js","9"
"plugin\src\actionExecutor\normalize.js","9"
"crm\src\components\ui\Badge.tsx","9"
".pytest_cache\README.md","8"
"plugin\src\actionExecutor\eventActions.js","6"
"crm\public\app.js","6"
"plugin\src\adapter\index.js","3"
"agent\retrieval\__init__.py","2"
"agent\prompts\__init__.py","2"
"db\__init__.py","1"
"tests\__init__.py","1"
"agent\__init__.py","1"
"crm\src\vite-env.d.ts","1"
"agent\adapters\__init__.py","1"
"api\__init__.py","1"
